Price,Address,Prop_type,Size,Bath,Bed
 4 500 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Business Office,  452 m2 ,  6 ,  -- 
 50 €  /  Monthly  ," Porto -   Valongo, Valongo  ",Garage,  15 m2 ,  0 ,  0 
 700 €  /  Monthly  ," Porto -   Marco de Canaveses, Várzea, Aliviada e Folhada  ",House,  80 m2 ,  0 ,  2 
 1 600 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  145 m2 ,  3 ,  3 
 1 100 €  /  Monthly  ," Porto -   Maia, Cidade da Maia  ",Condo/Apartment,  110 m2 ,  2 ,  2 
 900 €  /  Monthly  ," Porto -   Porto, Campanhã  ",Condo/Apartment,  100 m2 ,  2 ,  3 
 950 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  49 m2 ,  1 ,  1 
 770 €  /  Monthly  ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",Condo/Apartment,  88 m2 ,  1 ,  2 
 850 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  110 m2 ,  1 ,  3 
 700 €  /  Monthly  ," Porto -   Paredes, Paredes  ",Condo/Apartment,  90 m2 ,  2 ,  2 
 950 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  110 m2 ,  1 ,  -- 
 900 €  /  Monthly  ," Porto -   Valongo, Valongo  ",Condo/Apartment,  129 m2 ,  3 ,  3 
 950 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Oliveira do Douro  ",Condo/Apartment,  94 m2 ,  2 ,  2 
 1 100 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Condo/Apartment,  95 m2 ,  0 ,  2 
 700 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  49 m2 ,  1 ,  1 
 650 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Store,  75 m2 ,  1 ,  0 
 800 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Business Office,  98 m2 ,  1 ,  -- 
 200 €  /  Monthly  ," Porto -   Lousada, Caíde de Rei  ",Business Office,  60 m2 ,  1 ,  -- 
 950 €  /  Monthly  ," Porto -   Lousada, Macieira  ",Warehouse,  800 m2 ,  0 ,  -- 
 1 600 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Condo/Apartment,  95 m2 ,  2 ,  2 
 700 €  /  Monthly  ," Porto -   Penafiel, São Martinho Recezinhos  ",Land,  -- m2 ,  0 ,  -- 
 350 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Store,  68 m2 ,  1 ,  -- 
 400 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Store,  19 m2 ,  0 ,  -- 
 1 300 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  90 m2 ,  2 ,  2 
 1 200 €  /  Monthly  ," Porto -   Porto, Paranhos  ",Duplex,  174 m2 ,  3 ,  4 
 1 200 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Condo/Apartment,  61 m2 ,  1 ,  1 
 790 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  79 m2 ,  1 ,  2 
 880 €  /  Monthly  ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",Condo/Apartment,  94 m2 ,  1 ,  2 
 1 900 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Mafamude e Vilar do Paraíso  ",Condo/Apartment,  115 m2 ,  3 ,  3 
 1 300 €  /  Monthly  ," Porto -   Felgueiras, Torrados e Sousa  ",Warehouse,  472 m2 ,  2 ,  -- 
 1 000 €  /  Monthly  ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",Condo/Apartment,  111 m2 ,  2 ,  3 
 800 €  /  Monthly  ," Porto -   Porto, Paranhos  ",Store,  113 m2 ,  1 ,  -- 
 2 750 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  215 m2 ,  4 ,  4 
 1 250 €  /  Monthly  ," Porto -   Maia, Castêlo da Maia  ",Condo/Apartment,  162 m2 ,  2 ,  3 
 250 €  /  Monthly  ," Porto -   Paredes, Paredes  ",Store,  27 m2 ,  0 ,  0 
 1 300 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  148 m2 ,  3 ,  4 
 2 000 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  150 m2 ,  0 ,  3 
 120 €  /  Monthly  ," Porto -   Felgueiras, Vila Cova da Lixa e Borba de Godim  ",Garage,  60 m2 ,  0 ,  -- 
 1 350 €  /  Monthly  ," Porto -   Porto, Campanhã  ",Condo/Apartment,  127 m2 ,  2 ,  3 
 300 €  /  Monthly  ," Porto -   Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão  ",Store,  62 m2 ,  0 ,  -- 
 450 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Business Office,  30 m2 ,  1 ,  -- 
 880 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  93 m2 ,  2 ,  3 
 450 €  /  Monthly  ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",Business Office,  36 m2 ,  1 ,  -- 
 1 150 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  66 m2 ,  1 ,  2 
 840 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  82 m2 ,  1 ,  2 
 700 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Store,  58 m2 ,  2 ,  -- 
 250 €  /  Monthly  ," Porto -   Marco de Canaveses, Bem Viver  ",Store,  117 m2 ,  0 ,  -- 
 1 800 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Store,  200 m2 ,  2 ,  -- 
 355 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Business Office,  27 m2 ,  1 ,  -- 
 1 300 €  /  Monthly  ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",House,  105 m2 ,  2 ,  3 
 1 100 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  104 m2 ,  2 ,  2 
 950 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  40 m2 ,  1 ,  0 
 550 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Condo/Apartment,  120 m2 ,  2 ,  3 
 550 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Condo/Apartment,  92 m2 ,  1 ,  2 
 400 €  /  Monthly  ," Porto -   Felgueiras, Refontoura  ",House,  80 m2 ,  1 ,  1 
 750 €  /  Monthly  ," Porto -   Maia, Castêlo da Maia  ",Condo/Apartment,  79 m2 ,  1 ,  1 
 1 300 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Store,  294 m2 ,  1 ,  -- 
 750 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",Store,  109 m2 ,  2 ,  -- 
 550 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Warehouse,  180 m2 ,  1 ,  -- 
 800 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Canidelo  ",Condo/Apartment,  85 m2 ,  1 ,  2 
 300 €  /  Monthly  ," Porto -   Felgueiras, Pedreira, Rande e Sernande  ",Store,  81 m2 ,  0 ,  -- 
 1 200 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  ",Condo/Apartment,  101 m2 ,  2 ,  2 
 4 000 €  /  Monthly  ," Porto -   Maia, Moreira  ",Warehouse,  1020 m2 ,  2 ,  -- 
 320 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Oliveira do Douro  ",Store,  43 m2 ,  1 ,  -- 
 200 €  /  Monthly  ," Porto -   Santo Tirso, Vilarinho  ",Warehouse,  78 m2 ,  0 ,  -- 
 400 €  /  Monthly  ," Porto -   Felgueiras, Vila Cova da Lixa e Borba de Godim  ",Store,  99 m2 ,  1 ,  -- 
 1 200 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  120 m2 ,  0 ,  2 
 1 200 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  87 m2 ,  1 ,  1 
 1 200 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Business Office,  129 m2 ,  2 ,  -- 
 4 500 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  234 m2 ,  3 ,  4 
 350 €  /  Monthly  ," Porto -   Penafiel, Duas Igrejas  ",Warehouse,  144 m2 ,  0 ,  -- 
 850 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  87 m2 ,  2 ,  3 
 850 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Business Office,  69 m2 ,  1 ,  -- 
 800 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  100 m2 ,  2 ,  2 
 720 €  /  Monthly  ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",Condo/Apartment,  85 m2 ,  1 ,  2 
 790 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  91 m2 ,  1 ,  2 
 920 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  118 m2 ,  2 ,  2 
 475 €  /  Monthly  ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",Store,  25 m2 ,  1 ,  -- 
 1 000 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Business Office,  83 m2 ,  1 ,  -- 
 2 500 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  197 m2 ,  1 ,  -- 
 1 000 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  65 m2 ,  1 ,  2 
 400 €  /  Monthly  ," Porto -   Gondomar, Foz do Sousa e Covelo  ",Business Office,  118 m2 ,  1 ,  -- 
 400 €  /  Monthly  ," Porto -   Gondomar, Foz do Sousa e Covelo  ",Business Office,  118 m2 ,  1 ,  -- 
 750 €  /  Monthly  ," Porto -   Gondomar, Foz do Sousa e Covelo  ",Business Office,  237 m2 ,  2 ,  -- 
 350 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Store,  42 m2 ,  0 ,  -- 
 1 200 €  /  Monthly  ," Porto -   Maia, Pedrouços  ",Condo/Apartment,  117 m2 ,  2 ,  3 
 1 750 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Condo/Apartment,  155 m2 ,  3 ,  3 
 1 300 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Vilar de Andorinho  ",House,  250 m2 ,  2 ,  3 
 1 850 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Business Office,  35 m2 ,  1 ,  -- 
 400 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",Store,  98 m2 ,  2 ,  -- 
 1 500 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Canidelo  ",Condo/Apartment,  169 m2 ,  2 ,  3 
 350 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Store,  139 m2 ,  1 ,  -- 
 1 100 €  /  Monthly  ," Porto -   Maia, Pedrouços  ",Store,  125 m2 ,  0 ,  -- 
 650 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Serzedo e Perosinho  ",House,  168 m2 ,  1 ,  4 
 690 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Condo/Apartment,  69 m2 ,  1 ,  2 
 1 700 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Store,  81 m2 ,  1 ,  0 
 750 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Business Office,  58 m2 ,  1 ,  0 
 575 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Business Office,  55 m2 ,  1 ,  -- 
 600 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Store,  139 m2 ,  1 ,  -- 
 1 300 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  138 m2 ,  2 ,  -- 
 425 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Mafamude e Vilar do Paraíso  ",Store,  67 m2 ,  2 ,  -- 
 800 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Condo/Apartment,  62 m2 ,  1 ,  1 
 400 €  /  Monthly  ," Porto -   Felgueiras, Friande  ",Warehouse,  114 m2 ,  1 ,  -- 
 800 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Condo/Apartment,  94 m2 ,  2 ,  2 
 1 650 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  66 m2 ,  1 ,  1 
 850 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Vilar de Andorinho  ",Condo/Apartment,  75 m2 ,  0 ,  2 
 800 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  40 m2 ,  1 ,  0 
 900 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  40 m2 ,  1 ,  0 
 800 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  40 m2 ,  1 ,  0 
 21 000 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Business Office,  1220 m2 ,  0 ,  -- 
 790 €  /  Monthly  ," Porto -   Porto, Paranhos  ",Condo/Apartment,  64 m2 ,  1 ,  2 
 240 €  /  Monthly  ," Porto -   Maia, Moreira  ",Business Office,  22 m2 ,  0 ,  0 
 1 250 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",House,  102 m2 ,  2 ,  2 
 2 300 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  148 m2 ,  3 ,  3 
 450 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Condo/Apartment,  46 m2 ,  1 ,  1 
 250 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  22 m2 ,  0 ,  -- 
 800 €  /  Monthly  ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",Condo/Apartment,  56 m2 ,  1 ,  1 
 575 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Condo/Apartment,  42 m2 ,  1 ,  0 
 250 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  17 m2 ,  0 ,  -- 
 2 300 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Madalena  ",Condo/Apartment,  141 m2 ,  3 ,  3 
 1 000 €  /  Monthly  ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",Condo/Apartment,  73 m2 ,  2 ,  1 
 950 €  /  Monthly  ," Porto -   Paços de Ferreira, Carvalhosa  ",Store,  322 m2 ,  1 ,  -- 
 700 €  /  Monthly  ," Porto -   Paços de Ferreira, Carvalhosa  ",Store,  214 m2 ,  0 ,  -- 
 1 500 €  /  Monthly  ," Porto -   Paços de Ferreira, Carvalhosa  ",Store,  536 m2 ,  1 ,  -- 
 600 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Business Office,  85 m2 ,  1 ,  -- 
 800 €  /  Monthly  ," Porto -   Maia, Cidade da Maia  ",Condo/Apartment,  75 m2 ,  1 ,  1 
 900 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Warehouse,  416 m2 ,  4 ,  -- 
 1 800 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Condo/Apartment,  135 m2 ,  2 ,  3 
 3 500 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Store,  90 m2 ,  1 ,  -- 
 750 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Condo/Apartment,  67 m2 ,  1 ,  2 
 650 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Canidelo  ",Store,  120 m2 ,  1 ,  -- 
 1 500 €  /  Monthly  ," Porto -   Paços de Ferreira, Freamunde  ",Land,  -- m2 ,  0 ,  -- 
 150 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Business Office,  22 m2 ,  0 ,  0 
 650 €  /  Monthly  ," Porto -   Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão  ",Store,  112 m2 ,  0 ,  -- 
 900 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Condo/Apartment,  70 m2 ,  2 ,  2 
 550 €  /  Monthly  ," Porto -   Felgueiras, Idães  ",Warehouse,  212 m2 ,  1 ,  -- 
 450 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",House,  130 m2 ,  2 ,  3 
 450 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  46 m2 ,  0 ,  -- 
 350 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  16 m2 ,  0 ,  -- 
 4 500 €  /  Monthly  ," Porto -   Paredes, Rebordosa  ",Others - Commercial,  452 m2 ,  0 ,  -- 
 2 100 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Grijó e Sermonde  ",Warehouse,  872 m2 ,  0 ,  -- 
 380 €  /  Monthly  ," Porto -   Santo Tirso, Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães  ",Store,  87 m2 ,  1 ,  -- 
 1 500 €  /  Monthly  ," Porto -   Maia, Vila Nova da Telha  ",House,  186 m2 ,  3 ,  3 
 650 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  52 m2 ,  0 ,  -- 
 850 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  45 m2 ,  1 ,  1 
 1 250 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  87 m2 ,  2 ,  3 
 370 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Store,  45 m2 ,  0 ,  0 
 250 €  /  Monthly  ," Porto -   Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão  ",Store,  40 m2 ,  0 ,  -- 
 400 €  /  Monthly  ," Porto -   Trofa, Bougado (São Martinho e Santiago)  ",Business Office,  40 m2 ,  1 ,  0 
 800 €  /  Monthly  ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",Condo/Apartment,  68 m2 ,  1 ,  1 
 2 250 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Condo/Apartment,  160 m2 ,  3 ,  4 
 750 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Business Office,  75 m2 ,  1 ,  0 
 1 600 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  123 m2 ,  2 ,  2 
 800 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Condo/Apartment,  44 m2 ,  1 ,  0 
 750 €  /  Monthly  ," Porto -   Paredes, Paredes  ",Store,  100 m2 ,  2 ,  -- 
 730 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  66 m2 ,  1 ,  1 
 650 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",Store,  118 m2 ,  0 ,  -- 
 850 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Condo/Apartment,  83 m2 ,  1 ,  2 
 1 200 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  59 m2 ,  0 ,  1 
 700 €  /  Monthly  ," Porto -   Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão  ",Condo/Apartment,  131 m2 ,  1 ,  1 
 400 €  /  Monthly  ," Porto -   Paredes, Paredes  ",Store,  120 m2 ,  2 ,  -- 
 800 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  45 m2 ,  1 ,  0 
 350 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Sandim, Olival, Lever e Crestuma  ",Store,  91 m2 ,  1 ,  -- 
 950 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  41 m2 ,  1 ,  -- 
 1 450 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  118 m2 ,  1 ,  -- 
 900 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Mafamude e Vilar do Paraíso  ",Condo/Apartment,  74 m2 ,  1 ,  2 
 590 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Grijó e Sermonde  ",Business Office,  72 m2 ,  1 ,  -- 
 65 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Garage,  15 m2 ,  0 ,  -- 
 180 €  /  Monthly  ," Porto -   Trofa, Bougado (São Martinho e Santiago)  ",Store,  60 m2 ,  0 ,  -- 
 1 050 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Condo/Apartment,  113 m2 ,  1 ,  2 
 2 000 €  /  Monthly  ," Porto -   Porto, Bonfim  ",House,  239 m2 ,  3 ,  3 
 770 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  86 m2 ,  1 ,  2 
 960 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  107 m2 ,  2 ,  3 
 450 €  /  Monthly  ," Porto -   Trofa, Bougado (São Martinho e Santiago)  ",Business Office,  50 m2 ,  1 ,  -- 
 1 600 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  106 m2 ,  2 ,  2 
 2 200 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Condo/Apartment,  168 m2 ,  4 ,  4 
 1 100 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Arcozelo  ",Others - Commercial,  77 m2 ,  2 ,  -- 
 1 300 €  /  Monthly  ," Porto -   Marco de Canaveses, Marco  ",Store,  150 m2 ,  1 ,  -- 
 3 500 €  /  Monthly  ," Porto -   Maia, Moreira  ",Warehouse,  618 m2 ,  2 ,  -- 
 500 €  /  Monthly  ," Porto -   Paredes, Rebordosa  ",Business Office,  247 m2 ,  1 ,  -- 
 1 400 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  143 m2 ,  0 ,  -- 
 1 000 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  72 m2 ,  0 ,  1 
 590 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  69 m2 ,  1 ,  -- 
 3 900 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Store,  120 m2 ,  0 ,  0 
