Price,Prop_type,Size,Bath,Bed,Term,City,Division
50,3,15,0,0,/ Monthly,Valongo, Valongo  
700,1,80,0,2,/ Monthly,Marco de Canaveses, Várzea
1600,2,145,3,3,/ Monthly,Porto, Cedofeita
1100,2,110,2,2,/ Monthly,Maia, Cidade da Maia  
900,2,100,2,3,/ Monthly,Porto, Campanhã  
950,2,49,1,1,/ Monthly,Porto, Cedofeita
770,2,88,1,2,/ Monthly,Gondomar, Gondomar (São Cosme)
850,2,110,1,3,/ Monthly,Gondomar, Rio Tinto  
700,2,90,2,2,/ Monthly,Paredes, Paredes  
900,2,129,3,3,/ Monthly,Valongo, Valongo  
950,2,94,2,2,/ Monthly,Vila Nova de Gaia, Oliveira do Douro  
1100,2,95,0,2,/ Monthly,Matosinhos, Perafita
700,2,49,1,1,/ Monthly,Gondomar, Rio Tinto  
650,3,75,1,0,/ Monthly,Porto, Bonfim  
1600,2,95,2,2,/ Monthly,Porto, Aldoar
1300,2,90,2,2,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
1200,3,174,3,4,/ Monthly,Porto, Paranhos  
1200,2,61,1,1,/ Monthly,Porto, Ramalde  
790,2,79,1,2,/ Monthly,Gondomar, Rio Tinto  
880,2,94,1,2,/ Monthly,Gondomar, Gondomar (São Cosme)
1900,2,115,3,3,/ Monthly,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
1000,2,111,2,3,/ Monthly,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2750,2,215,4,4,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
1250,2,162,2,3,/ Monthly,Maia, Castêlo da Maia  
250,3,27,0,0,/ Monthly,Paredes, Paredes  
1300,2,148,3,4,/ Monthly,Porto, Cedofeita
2000,2,150,0,3,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
1350,2,127,2,3,/ Monthly,Porto, Campanhã  
880,2,93,2,3,/ Monthly,Gondomar, Rio Tinto  
1150,2,66,1,2,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
840,2,82,1,2,/ Monthly,Gondomar, Fânzeres e São Pedro da Cova  
1300,1,105,2,3,/ Monthly,Matosinhos, São Mamede de Infesta e Senhora da Hora  
1100,2,104,2,2,/ Monthly,Gondomar, Rio Tinto  
950,2,40,1,0,/ Monthly,Porto, Cedofeita
550,2,120,2,3,/ Monthly,Felgueiras, Margaride (Santa Eulália)
550,2,92,1,2,/ Monthly,Felgueiras, Margaride (Santa Eulália)
400,1,80,1,1,/ Monthly,Felgueiras, Refontoura  
750,2,79,1,1,/ Monthly,Maia, Castêlo da Maia  
800,2,85,1,2,/ Monthly,Vila Nova de Gaia, Canidelo  
1200,2,101,2,2,/ Monthly,Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  
1200,2,120,0,2,/ Monthly,Porto, Cedofeita
1200,2,87,1,1,/ Monthly,Porto, Cedofeita
4500,2,234,3,4,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
850,2,87,2,3,/ Monthly,Gondomar, Fânzeres e São Pedro da Cova  
800,2,100,2,2,/ Monthly,Gondomar, Fânzeres e São Pedro da Cova  
720,2,85,1,2,/ Monthly,Gondomar, Gondomar (São Cosme)
790,2,91,1,2,/ Monthly,Gondomar, Fânzeres e São Pedro da Cova  
920,2,118,2,2,/ Monthly,Gondomar, Rio Tinto  
1000,2,65,1,2,/ Monthly,Porto, Cedofeita
1200,2,117,2,3,/ Monthly,Maia, Pedrouços  
1750,2,155,3,3,/ Monthly,Porto, Aldoar
1300,1,250,2,3,/ Monthly,Vila Nova de Gaia, Vilar de Andorinho  
1500,2,169,2,3,/ Monthly,Vila Nova de Gaia, Canidelo  
650,1,168,1,4,/ Monthly,Vila Nova de Gaia, Serzedo e Perosinho  
690,2,69,1,2,/ Monthly,Matosinhos, Perafita
1700,3,81,1,0,/ Monthly,Porto, Aldoar
750,3,58,1,0,/ Monthly,Porto, Lordelo do Ouro e Massarelos  
800,2,62,1,1,/ Monthly,Porto, Lordelo do Ouro e Massarelos  
800,2,94,2,2,/ Monthly,Porto, Bonfim  
1650,2,66,1,1,/ Monthly,Porto, Cedofeita
850,2,75,0,2,/ Monthly,Vila Nova de Gaia, Vilar de Andorinho  
800,2,40,1,0,/ Monthly,Porto, Cedofeita
900,2,40,1,0,/ Monthly,Porto, Cedofeita
790,2,64,1,2,/ Monthly,Porto, Paranhos  
240,3,22,0,0,/ Monthly,Maia, Moreira  
1250,1,102,2,2,/ Monthly,Matosinhos, Perafita
2300,2,148,3,3,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
450,2,46,1,1,/ Monthly,Matosinhos, Perafita
800,2,56,1,1,/ Monthly,Matosinhos, Custóias
575,2,42,1,0,/ Monthly,Matosinhos, Perafita
2300,2,141,3,3,/ Monthly,Vila Nova de Gaia, Madalena  
1000,2,73,2,1,/ Monthly,Matosinhos, São Mamede de Infesta e Senhora da Hora  
800,2,75,1,1,/ Monthly,Maia, Cidade da Maia  
1800,2,135,2,3,/ Monthly,Porto, Aldoar
750,2,67,1,2,/ Monthly,Porto, Bonfim  
150,3,22,0,0,/ Monthly,Felgueiras, Margaride (Santa Eulália)
900,2,70,2,2,/ Monthly,Porto, Ramalde  
450,1,130,2,3,/ Monthly,Felgueiras, Margaride (Santa Eulália)
1500,1,186,3,3,/ Monthly,Maia, Vila Nova da Telha  
850,2,45,1,1,/ Monthly,Porto, Cedofeita
1250,2,87,2,3,/ Monthly,Porto, Cedofeita
370,3,45,0,0,/ Monthly,Porto, Cedofeita
400,3,40,1,0,/ Monthly,Trofa, Bougado (São Martinho e Santiago)  
800,2,68,1,1,/ Monthly,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2250,2,160,3,4,/ Monthly,Porto, Ramalde  
750,3,75,1,0,/ Monthly,Porto, Cedofeita
1600,2,123,2,2,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
800,2,44,1,0,/ Monthly,Porto, Lordelo do Ouro e Massarelos  
730,2,66,1,1,/ Monthly,Gondomar, Rio Tinto  
850,2,83,1,2,/ Monthly,Porto, Ramalde  
1200,2,59,0,1,/ Monthly,Porto, Cedofeita
700,2,131,1,1,/ Monthly,Amarante, Amarante (São Gonçalo)
800,2,45,1,0,/ Monthly,Porto, Cedofeita
900,2,74,1,2,/ Monthly,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
1050,2,113,1,2,/ Monthly,Porto, Lordelo do Ouro e Massarelos  
2000,1,239,3,3,/ Monthly,Porto, Bonfim  
770,2,86,1,2,/ Monthly,Gondomar, Fânzeres e São Pedro da Cova  
960,2,107,2,3,/ Monthly,Gondomar, Rio Tinto  
1600,2,106,2,2,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
2200,2,168,4,4,/ Monthly,Porto, Lordelo do Ouro e Massarelos  
1000,2,72,0,1,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
3900,3,120,0,0,/ Monthly,Porto, Cedofeita
500,3,53,0,0,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
2250,1,104,2,3,/ Monthly,Porto, Lordelo do Ouro e Massarelos  
1850,2,198,3,3,/ Monthly,Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  
2200,2,158,0,3,/ Monthly,Porto, Cedofeita
1100,1,120,1,1,/ Monthly,Porto, Aldoar
2500,2,205,4,4,/ Monthly,Porto, Lordelo do Ouro e Massarelos  
840,2,121,2,3,/ Monthly,Gondomar, Gondomar (São Cosme)
950,3,117,0,0,/ Monthly,Porto, Bonfim  
850,2,120,2,3,/ Monthly,Póvoa de Varzim, Póvoa de Varzim
1450,2,126,3,3,/ Monthly,Matosinhos, Perafita
690,3,65,1,0,/ Monthly,Porto, Lordelo do Ouro e Massarelos  
1950,2,133,3,3,/ Monthly,Porto, Ramalde  
1500,1,90,0,2,/ Monthly,Santo Tirso, Vila Nova do Campo  
2750,1,291,5,4,/ Monthly,Vila Nova de Gaia, Gulpilhares e Valadares  
1000,3,169,2,0,/ Monthly,Porto, Ramalde  
860,2,94,2,2,/ Monthly,Gondomar, Gondomar (São Cosme)
870,2,119,4,3,/ Monthly,Gondomar, Gondomar (São Cosme)
2700,3,463,2,0,/ Monthly,Valongo, Ermesinde  
365,3,28,2,0,/ Monthly,Maia, Cidade da Maia  
500,3,81,0,0,/ Monthly,Matosinhos, São Mamede de Infesta e Senhora da Hora  
5337,3,1186,0,0,/ Monthly,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
2500,3,136,1,0,/ Monthly,Porto, Cedofeita
1000,3,1034,0,0,/ Monthly,Vila Nova de Gaia, Serzedo e Perosinho  
700,3,130,0,0,/ Monthly,Póvoa de Varzim, Póvoa de Varzim
600,3,613,0,0,/ Monthly,Penafiel, Rio Mau  
250,3,18,0,0,/ Monthly,Penafiel, Rio Mau  
250,3,22,0,0,/ Monthly,Penafiel, Rio Mau  
350,3,96,0,0,/ Monthly,Paredes, Paredes  
600,3,240,0,0,/ Monthly,Santo Tirso, Roriz  
730,3,104,0,0,/ Monthly,Matosinhos, Perafita
735,3,105,0,0,/ Monthly,Matosinhos, Perafita
850,3,120,0,0,/ Monthly,Matosinhos, Perafita
450,3,83,0,0,/ Monthly,Porto, Campanhã  
700,3,148,0,0,/ Monthly,Porto, Cedofeita
250,3,17,0,0,/ Monthly,Penafiel, Rio Mau  
3200,3,491,0,0,/ Monthly,Maia, Castêlo da Maia  
2100,3,245,0,0,/ Monthly,Maia, Castêlo da Maia  
1500,3,500,0,0,/ Monthly,Felgueiras, Margaride (Santa Eulália)
800,3,9000,0,0,/ Monthly,Maia, Vila Nova da Telha  
700,3,76,0,0,/ Monthly,Porto, Campanhã  
450,3,210,0,0,/ Monthly,Felgueiras, Vila Fria e Vizela (São Jorge)  
700,3,295,0,0,/ Monthly,Paredes, Paredes  
3000,3,362,0,0,/ Monthly,Vila do Conde, Vilar e Mosteiró  
600,3,49,0,0,/ Monthly,Vila do Conde, Vila do Conde  
800,3,197,0,0,/ Monthly,Porto, Bonfim  
1000,3,241,0,0,/ Monthly,Paredes, Recarei  
5000,3,979,0,0,/ Monthly,Maia, Castêlo da Maia  
400,3,88,0,0,/ Monthly,Paredes, Rebordosa  
1750,3,364,4,0,/ Monthly,Porto, Ramalde  
10000,3,280000,0,0,/ Monthly,Vila do Conde, Fornelo e Vairão  
350,3,124,0,0,/ Monthly,Paredes, Lordelo  
76516,3,76516,0,0,/ Monthly,Matosinhos, Custóias
700,2,70,1,2,/ Monthly,Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  
1750,2,123,2,3,/ Monthly,Loures, Sacavém e Prior Velho  
950,2,115,2,3,/ Monthly,Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa  
750,2,89,2,3,/ Monthly,Odivelas, Póvoa de Santo Adrião e Olival Basto  
1450,2,86,1,2,/ Monthly,Lisboa, Areeiro  
1200,2,65,1,2,/ Monthly,Lisboa, Estrela  
1800,2,102,2,3,/ Monthly,Lisboa, Santa Clara  
4000,2,210,3,4,/ Monthly,Cascais, Cascais e Estoril  
3000,1,150,3,3,/ Monthly,Cascais, Cascais e Estoril  
1000,2,98,2,2,/ Monthly,Sintra, Queluz e Belas  
1800,2,126,2,2,/ Monthly,Sintra, Sintra (Santa Maria e São Miguel
1000,2,91,0,3,/ Monthly,Amadora, Águas Livres  
3700,2,170,3,4,/ Monthly,Lisboa, Estrela  
1650,2,84,2,1,/ Monthly,Lisboa, Misericórdia  
850,2,75,1,2,/ Monthly,Sintra, Massamá e Monte Abraão  
1500,2,105,2,3,/ Monthly,Oeiras, Oeiras e São Julião da Barra
900,2,73,0,2,/ Monthly,Amadora, Águas Livres  
1300,2,79,1,1,/ Monthly,Lisboa, São Domingos de Benfica  
1250,2,75,1,2,/ Monthly,Lisboa, Avenidas Novas  
2500,2,158,3,3,/ Monthly,Cascais, Cascais e Estoril  
1300,2,66,2,2,/ Monthly,Cascais, Cascais e Estoril  
1500,3,240,0,0,/ Monthly,Lisboa, Areeiro  
4000,2,160,4,4,/ Monthly,Cascais, Cascais e Estoril  
700,2,69,1,2,/ Monthly,Amadora, Encosta do Sol  
6500,2,215,4,3,/ Monthly,Lisboa, Campo de Ourique  
1950,2,121,2,3,/ Monthly,Lisboa, São Domingos de Benfica  
900,2,67,1,1,/ Monthly,Lisboa, Arroios  
3000,2,138,3,3,/ Monthly,Cascais, Cascais e Estoril  
1600,2,78,1,2,/ Monthly,Lisboa, Ajuda  
2000,2,104,2,3,/ Monthly,Lisboa, Santo António  
1250,2,106,2,3,/ Monthly,Amadora, Encosta do Sol  
3300,2,179,3,2,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1300,2,83,2,3,/ Monthly,Sintra, Agualva e MiraSintra  
1900,2,139,2,3,/ Monthly,Cascais, São Domingos de Rana  
1300,2,110,1,2,/ Monthly,Lisboa, Avenidas Novas  
1700,3,124,3,2,/ Monthly,Oeiras, Algés
2350,2,112,2,2,/ Monthly,Lisboa, Arroios  
700,2,120,2,3,/ Monthly,Lourinhã, Lourinhã e Atalaia  
1500,2,65,1,2,/ Monthly,Lisboa, Alvalade  
1700,2,95,2,2,/ Monthly,Lisboa, Alvalade  
1600,2,91,2,2,/ Monthly,Lisboa, Carnide  
900,2,73,1,1,/ Monthly,Cascais, Carcavelos e Parede  
4500,2,163,3,2,/ Monthly,Cascais, Cascais e Estoril  
980,2,46,1,1,/ Monthly,Lisboa, Santo António  
2850,2,190,3,4,/ Monthly,Oeiras, Oeiras e São Julião da Barra
2500,2,151,2,3,/ Monthly,Oeiras, Algés
1200,2,78,1,2,/ Monthly,Oeiras, Algés
1200,2,81,2,2,/ Monthly,Lisboa, Beato  
1750,3,100,1,0,/ Monthly,Mafra, Ericeira  
6000,2,257,5,6,/ Monthly,Lisboa, Santo António  
650,2,65,0,2,/ Monthly,Sintra, Agualva e MiraSintra  
1200,2,82,2,2,/ Monthly,Sintra, AlgueirãoMem Martins  
1700,2,97,2,3,/ Monthly,Lisboa, São Domingos de Benfica  
2500,2,108,2,3,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1200,2,75,1,2,/ Monthly,Lisboa, São Domingos de Benfica  
750,2,73,1,2,/ Monthly,Sintra, Rio de Mouro  
1500,2,102,2,2,/ Monthly,Odivelas, Odivelas  
250,3,71,1,0,/ Monthly,Sintra, Massamá e Monte Abraão  
1100,2,81,1,2,/ Monthly,Sintra, Sintra (Santa Maria e São Miguel
1400,2,80,1,2,/ Monthly,Lisboa, Penha de França  
1600,2,200,2,4,/ Monthly,Lisboa, Campolide  
1450,2,97,2,2,/ Monthly,Lisboa, Marvila  
1200,2,57,1,1,/ Monthly,Lisboa, Carnide  
1400,2,54,1,1,/ Monthly,Lisboa, Avenidas Novas  
1300,2,98,2,3,/ Monthly,Lisboa, Belém  
350,3,86,1,1,/ Monthly,Loures, Santa Iria de Azoia
1700,2,137,3,3,/ Monthly,Sintra, Sintra (Santa Maria e São Miguel
20000,1,513,7,5,/ Monthly,Sintra, Sintra (Santa Maria e São Miguel
1400,2,127,2,3,/ Monthly,Loures, Sacavém e Prior Velho  
2000,2,110,1,3,/ Monthly,Lisboa, Misericórdia  
950,2,55,1,1,/ Monthly,Lisboa, Benfica  
1900,2,114,3,2,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1950,2,131,2,3,/ Monthly,Lisboa, Penha de França  
1500,2,115,2,3,/ Monthly,Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa  
900,2,61,1,1,/ Monthly,Lisboa, Santa Maria Maior  
6500,1,393,4,4,/ Monthly,Sintra, Sintra (Santa Maria e São Miguel
1000,2,70,1,2,/ Monthly,Odivelas, Pontinha e Famões  
2500,2,135,2,3,/ Monthly,Loures, Moscavide e Portela  
6000,2,165,3,4,/ Monthly,Lisboa, Alcântara  
1300,2,58,1,1,/ Monthly,Cascais, Carcavelos e Parede  
3150,2,140,2,4,/ Monthly,Lisboa, Santa Maria Maior  
2000,2,127,2,3,/ Monthly,Odivelas, Odivelas  
2900,2,110,2,2,/ Monthly,Lisboa, Marvila  
1450,2,90,1,1,/ Monthly,Lisboa, Campo de Ourique  
1750,2,98,2,3,/ Monthly,Cascais, Carcavelos e Parede  
2400,2,119,3,3,/ Monthly,Cascais, Carcavelos e Parede  
1700,2,124,2,3,/ Monthly,Lisboa, São Domingos de Benfica  
2900,2,116,3,2,/ Monthly,Lisboa, Santo António  
1200,2,63,1,1,/ Monthly,Lisboa, Areeiro  
1350,2,120,2,3,/ Monthly,Odivelas, Odivelas  
1250,2,150,3,4,/ Monthly,Sintra, Queluz e Belas  
800,2,60,1,2,/ Monthly,Loures, Camarate
1600,2,85,2,3,/ Monthly,Amadora, Venteira  
2000,2,134,2,3,/ Monthly,Lisboa, Lumiar  
2500,2,99,2,3,/ Monthly,Lisboa, Alvalade  
800,2,58,0,3,/ Monthly,Lisboa, Alcântara  
1800,2,95,2,2,/ Monthly,Lisboa, Campolide  
4500,2,176,2,4,/ Monthly,Lisboa, Misericórdia  
1400,2,87,1,2,/ Monthly,Lisboa, Ajuda  
600,1,28,1,1,/ Monthly,Odivelas, Pontinha e Famões  
2000,1,165,3,3,/ Monthly,Torres Vedras, Silveira  
2250,3,135,4,4,/ Monthly,Sintra, Queluz e Belas  
1300,2,81,2,3,/ Monthly,Vila Franca de Xira, Vila Franca de Xira  
1500,2,75,1,3,/ Monthly,Lisboa, Misericórdia  
1450,2,120,2,2,/ Monthly,Lisboa, Parque das Nações  
1450,2,109,2,3,/ Monthly,Lisboa, Areeiro  
1250,2,102,2,3,/ Monthly,Sintra, Massamá e Monte Abraão  
1600,1,172,0,3,/ Monthly,Torres Vedras, A dos Cunhados e Maceira  
2250,2,134,3,4,/ Monthly,Cascais, Carcavelos e Parede  
1800,1,272,4,3,/ Monthly,Alenquer, Olhalvo  
1100,2,87,2,1,/ Monthly,Sintra, Sintra (Santa Maria e São Miguel
850,2,61,1,2,/ Monthly,Sintra, Rio de Mouro  
1200,2,90,2,3,/ Monthly,Amadora, Encosta do Sol  
700,2,61,1,2,/ Monthly,Sintra, Casal de Cambra  
2250,2,84,3,2,/ Monthly,Cascais, Alcabideche  
1100,2,70,1,2,/ Monthly,Lisboa, Benfica  
2100,2,142,3,3,/ Monthly,Lisboa, Campolide  
700,2,80,1,2,/ Monthly,Sintra, Cacém e São Marcos  
1350,2,120,2,3,/ Monthly,Lisboa, Benfica  
1200,3,215,0,0,/ Monthly,Odivelas, Ramada e Caneças  
1500,3,215,0,0,/ Monthly,Odivelas, Ramada e Caneças  
2650,1,128,6,3,/ Monthly,Cascais, São Domingos de Rana  
1650,2,67,2,2,/ Monthly,Cascais, Carcavelos e Parede  
3250,1,277,0,4,/ Monthly,Mafra, Mafra  
1100,2,65,1,2,/ Monthly,Loures, Santo António dos Cavaleiros e Frielas  
700,2,90,1,2,/ Monthly,Odivelas, Pontinha e Famões  
750,2,91,1,2,/ Monthly,Amadora, Alfragide  
1300,2,80,1,2,/ Monthly,Cascais, Carcavelos e Parede  
850,2,42,1,1,/ Monthly,Lisboa, Arroios  
1200,2,110,2,3,/ Monthly,Sintra, Agualva e MiraSintra  
1800,2,116,2,2,/ Monthly,Lisboa, São Domingos de Benfica  
900,2,89,2,3,/ Monthly,Sintra, Agualva e MiraSintra  
1750,2,130,2,2,/ Monthly,Lisboa, Areeiro  
900,2,49,1,1,/ Monthly,Lisboa, Avenidas Novas  
3100,2,112,3,2,/ Monthly,Lisboa, Parque das Nações  
1400,2,100,2,3,/ Monthly,Lisboa, Campolide  
1400,2,107,2,3,/ Monthly,Oeiras, Oeiras e São Julião da Barra
700,2,75,1,2,/ Monthly,Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  
850,2,84,1,2,/ Monthly,Mafra, Venda do Pinheiro e Santo Estêvão das Galés  
3000,2,90,2,3,/ Monthly,Cascais, Cascais e Estoril  
2300,2,79,2,2,/ Monthly,Lisboa, Santa Maria Maior  
1650,2,85,2,2,/ Monthly,Lisboa, Santa Maria Maior  
800,2,38,1,2,/ Monthly,Lisboa, Santa Maria Maior  
900,2,54,1,1,/ Monthly,Amadora, Águas Livres  
1600,2,126,2,3,/ Monthly,Lisboa, São Domingos de Benfica  
900,2,69,1,2,/ Monthly,Sintra, Queluz e Belas  
5000,2,164,3,3,/ Monthly,Sintra, Sintra (Santa Maria e São Miguel
950,2,45,1,1,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1490,2,80,2,1,/ Monthly,Lisboa, Misericórdia  
1950,2,95,2,2,/ Monthly,Lisboa, Misericórdia  
2900,2,107,3,3,/ Monthly,Lisboa, Misericórdia  
3250,2,107,2,3,/ Monthly,Lisboa, Misericórdia  
1000,2,90,2,2,/ Monthly,Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa  
2500,2,154,2,4,/ Monthly,Lisboa, Arroios  
2900,2,164,2,3,/ Monthly,Lisboa, São Domingos de Benfica  
750,2,58,0,1,/ Monthly,Lisboa, Alcântara  
1100,2,96,2,2,/ Monthly,Odivelas, Ramada e Caneças  
670,2,47,1,1,/ Monthly,Lisboa, Benfica  
1150,2,66,1,2,/ Monthly,Lisboa, São Domingos de Benfica  
2500,2,132,2,3,/ Monthly,Oeiras, Oeiras e São Julião da Barra
7850,2,210,4,4,/ Monthly,Oeiras, Oeiras e São Julião da Barra
110,3,12,0,0,/ Monthly,Lisboa, Avenidas Novas  
3500,2,258,4,4,/ Monthly,Loures, Sacavém e Prior Velho  
900,2,57,1,2,/ Monthly,Mafra, Venda do Pinheiro e Santo Estêvão das Galés  
900,2,87,0,2,/ Monthly,Sintra, Cacém e São Marcos  
3200,3,150,2,0,/ Monthly,Lisboa, Avenidas Novas  
1200,2,80,1,1,/ Monthly,Lisboa, Alcântara  
700,2,51,1,1,/ Monthly,Oeiras, Carnaxide e Queijas  
1300,2,78,1,2,/ Monthly,Cascais, Cascais e Estoril  
1350,1,185,2,3,/ Monthly,Torres Vedras, Turcifal  
1500,1,186,3,4,/ Monthly,Torres Vedras, Turcifal  
970,2,55,1,1,/ Monthly,Lisboa, Santa Maria Maior  
870,2,60,1,1,/ Monthly,Lisboa, Santa Maria Maior  
3400,2,173,3,3,/ Monthly,Lisboa, Lumiar  
950,2,94,1,2,/ Monthly,Sintra, Cacém e São Marcos  
7500,1,310,5,3,/ Monthly,Cascais, Alcabideche  
1650,2,93,2,2,/ Monthly,Lisboa, Santo António  
750,2,106,2,3,/ Monthly,Sobral de Monte Agraço, Sobral de Monte Agraço  
1200,2,81,1,2,/ Monthly,Lisboa, São Domingos de Benfica  
870,2,79,1,2,/ Monthly,Amadora, Encosta do Sol  
2500,2,125,2,2,/ Monthly,Lisboa, Campolide  
2100,2,110,2,3,/ Monthly,Lisboa, Areeiro  
950,2,80,1,2,/ Monthly,Sintra, Queluz e Belas  
1000,2,79,1,2,/ Monthly,Loures, Santo António dos Cavaleiros e Frielas  
1100,2,440,1,2,/ Monthly,Mafra, Ericeira  
1300,2,85,2,3,/ Monthly,Sintra, Agualva e MiraSintra  
2600,2,188,4,4,/ Monthly,Lisboa, Parque das Nações  
950,2,35,1,1,/ Monthly,Lisboa, Santo António  
950,2,99,2,1,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1950,2,124,2,3,/ Monthly,Lisboa, Lumiar  
850,2,90,1,2,/ Monthly,Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa  
2000,2,91,2,3,/ Monthly,Cascais, Cascais e Estoril  
2200,2,100,2,3,/ Monthly,Cascais, Cascais e Estoril  
1250,2,123,2,2,/ Monthly,Amadora, Alfragide  
900,2,17,1,1,/ Monthly,Lisboa, São Vicente  
1100,2,93,2,3,/ Monthly,Vila Franca de Xira, Vila Franca de Xira  
950,2,72,1,2,/ Monthly,Lisboa, Estrela  
1500,2,53,2,2,/ Monthly,Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  
1750,2,44,1,1,/ Monthly,Lisboa, Avenidas Novas  
1450,2,134,3,4,/ Monthly,Odivelas, Odivelas  
1550,2,112,0,3,/ Monthly,Cascais, Cascais e Estoril  
1500,2,97,2,2,/ Monthly,Lisboa, Carnide  
1800,3,60,1,1,/ Monthly,Cascais, Cascais e Estoril  
1100,2,81,2,2,/ Monthly,Lisboa, Belém  
2320,2,58,1,1,/ Monthly,Lisboa, Santa Maria Maior  
1600,2,90,2,3,/ Monthly,Lisboa, Campolide  
5000,1,532,4,5,/ Monthly,Cascais, Cascais e Estoril  
2980,3,153,3,3,/ Monthly,Cascais, Cascais e Estoril  
990,2,65,1,2,/ Monthly,Vila Franca de Xira, Vila Franca de Xira  
